subject_id	subject_label	predicate	object_id	object_label	sources	confidence	evidence_count	evidence_types	evidence_pmid	evidence_type	evidence_span
NCBITaxon:7898	Actinopterygii	CONTAINS	CHEBI:15354	choline	FooDB	0.75	1	observational			
NCBITaxon:7898	Actinopterygii	CONTAINS	CHEBI:28364	all-cis-5,8,11,14,17-icosapentaenoic acid	FooDB	0.75	1	observational			
NCBITaxon:7898	Actinopterygii	CONTAINS	CHEBI:18139	trimethylamine	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:28645	D-fructose	FooDB	0.9	8	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:27432	alpha-linolenic acid	FooDB	0.9	8	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:17895	L-tyrosine	FooDB	0.9	26	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:16828	L-tryptophan	FooDB	0.9	22	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:15354	choline	FooDB	0.9	14	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:17750	glycine betaine	FooDB	0.9	4	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:17716	lactose	FooDB	0.9	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:30089	acetate	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:3962	curcumin	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:16899	D-mannitol	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:28197	daidzein	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:28088	genistein	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:18295	histamine	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:30854	indole-3-acetate	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:28499	kaempferol	FooDB	0.9	8	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:16634	raffinose	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:17164	stachyose	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:45713	trans-resveratrol	FooDB	0.75	1	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:16243	quercetin	FooDB	0.9	8	observational			
NCBITaxon:4678	Allium	CONTAINS	CHEBI:16196	oleic acid	FooDB	0.9	3	observational			
CHEBI:34533	Amaranth	CONTAINS	CHEBI:16828	L-tryptophan	FooDB	0.9	5	observational			
