id	recommended_decision	note
LLM:vsl_3	keep	multi-strain probiotic product
LLM:4-sure_diet	keep	a diet
LLM:mume_fructus_extract_mfe40	keep	plant extract preparation
LLM:2_3_5_4_-tetrahydroxystilbene-2-o-beta-d-glucoside	Bioactive	stilbene glycoside compound
LLM:bacillus_subtilis-fermented_milk	keep	fermented food
LLM:lactiplantibacillus_plantarum_zj316-fermented_milk	keep	fermented food
LLM:lactobacillus_plantarum_sc-5_and_tyrosol_combination	keep	combination
LLM:n1-aminopropylagmatine	Bioactive	polyamine compound (already Bioactive)
LLM:bacillus_natto_jlcc513_and_ginseng-soluble_dietary_fiber	keep	synbiotic combination
LLM:biolex_mb40	keep	commercial yeast beta-glucan product; borderline, could be Bioactive
LLM:lactiplantibacillus_plantarum_as21	Microbe	genuine strain
LLM:lactiplantibacillus_plantarum_cgmcc9513	Microbe	genuine strain
LLM:lactiplantibacillus_plantarum_hy7718	Microbe	genuine strain
LLM:lactiplantibacillus_plantarum_hyy-s10	Microbe	genuine strain
LLM:lactiplantibacillus_plantarum_js19-fermented_goat_milk	keep	fermented food
LLM:lactobacillus_delbrueckii_cidca_133_fermented_milk	keep	fermented food
LLM:lactobacillus_rhamnosus_and_l_plantarum_combination	keep	combination
LLM:limosilactobacillus_fermentum_hf06_and_lactiplatibacillus_plantarum_hf05	keep	two-microbe combination
LLM:peonidin-3-o-_3_6-o-dimalonyl-beta-d-glucoside	Bioactive	anthocyanin compound
LLM:bifidobacterium_longum_subsp_longum_ys108r_exopolysaccharide	Bioactive	exopolysaccharide
LLM:chinese_yam_polysaccharide_cyp-1	Bioactive	polysaccharide
LLM:companilactobacillus_crustorum_mn047	Microbe	genuine strain
LLM:dgps-2b_arabinoxylan	Bioactive	arabinoxylan (dietary fibre)
LLM:diesel_pm2_5	keep	environmental pollutant; out-of-scope oddity
LLM:enterococcus_faecium_kimate-x_and_lactobacillus_plantarum_kimate-f	keep	two-microbe combination
LLM:escherichia_coli_nissle_1917_engineered_with_catalase_and_superoxide_dismutase	Microbe	engineered strain
LLM:escherichia_coli_nissle_1917_expressing_elafin	Microbe	engineered strain
LLM:escherichia_coli_nissle_1917_membrane_vesicles_with_roflumilast_and_mno2	Bioactive	engineered membrane-vesicle drug carrier
LLM:glp-1_receptor_agonist	Bioactive	drug class
LLM:lacticaseibacillus_paracasei_bncc345679	Microbe	genuine strain
LLM:lacticaseibacillus_paracasei_jy062_postbiotic	Bioactive	postbiotic
LLM:lacticaseibacillus_rhamnosus_ms27	Microbe	genuine strain
LLM:lacticaseibacillus_rhamnosus_probio-m9	Microbe	genuine strain
LLM:lactiplantibacillus_lr-1_biofilm	Microbe	biofilm form of the strain; borderline
LLM:lactiplantibacillus_plantarum_bw2013	Microbe	genuine strain
LLM:lactobacillus_acidophilus_huan_kui_le_suspension	keep	combination (microbe + TCM formula)
LLM:lactobacillus_delbrueckii_cidca_133_postbiotic_proteins	Bioactive	postbiotic proteins
LLM:lactobacillus_rhamnosus_lgg_mpn_l_with_egc	keep	combination (microbe + EGC)
LLM:ngp-3_polysaccharide	Bioactive	polysaccharide
LLM:pine_pollen_polysaccharide_ppm60	Bioactive	polysaccharide
LLM:selenium-enriched_bifidobacterium_longum_dd98	Microbe	selenium-enriched strain
LLM:shewanella_oneidensis_mr-1_with_ta-cof-magnolol	keep	combination / construct
LLM:sulfated_pine_pollen_polysaccharide_sppm60	Bioactive	polysaccharide
LLM:fermented_soymilk_fsm4	keep	fermented food
LLM:hawthorn_polysaccharide_haw1-2	Bioactive	polysaccharide
LLM:pine_pollen_polysaccharide_ppm60-iii	Bioactive	polysaccharide
LLM:sulfated_polysaccharide_sppm60-iii	Bioactive	polysaccharide
LLM:astragalus_polysaccharide_aps1	Bioactive	polysaccharide
LLM:escherichia_coli_nissle_1917_keratin_hydrogel	keep	microbe-in-material construct; borderline
LLM:escherichia_coli_nissle_1917_probiotic_expressing_sj16	Microbe	engineered strain
LLM:fpsp-2	keep	AMBIGUOUS acronym; likely a polysaccharide - verify, set Bioactive if so
LLM:gw0742	Bioactive	drug (PPAR-delta agonist)
LLM:lacticaseibacillus_rhamnosus_lra05	Microbe	genuine strain
LLM:lactiplantibacillus_plantarum_bd7807	Microbe	genuine strain
LLM:lactiplantibacillus_plantarum_scs2	Microbe	genuine strain
LLM:lactiplantibacillus_plantarum_sffi23	Microbe	genuine strain
LLM:lactobacillus_acidophilus_and_pediococcus_acidilactici_combination	keep	combination
LLM:lactobacillus_casei_zhang_lactobacillus_plantarum_p-8_and_bifidobacterium_animal	keep	multi-strain combination
LLM:lactobacillus_paracasei_kbl382_and_lactobacillus_plantarum_kbl396	keep	combination
LLM:lactobacillus_rhamnosus_gg_vitamin_d3	keep	combination (microbe + vitamin D3)
LLM:limosilactobacillus_fermentum_hf06_paraprobiotic	Microbe	paraprobiotic (inactivated whole cells)
LLM:limosilactobacillus_fermentum_hf06_postbiotic	Bioactive	postbiotic
LLM:limosilactobacillus_mucosae_ccfm1273_exopolysaccharide	Bioactive	exopolysaccharide
LLM:limosilactobacillus_reuteri_fphc2951	Microbe	genuine strain
LLM:lycium_barbarum_polysaccharides_and_bifidobacterium_longum_olp-01	keep	combination
LLM:mh002_bacterial_consortium	keep	multi-strain consortium
LLM:mof-818	keep	synthetic material (nanozyme); out-of-scope oddity
