id	label	current_type	bucket	degree	suggested_decision	decision
LLM:sodium_butyrate	sodium butyrate	Food	compound_candidate	33	Bioactive	Bioactive
LLM:lycium_barbarum_polysaccharide	Lycium barbarum polysaccharide	Food	compound_candidate	20	Bioactive	Bioactive
LLM:2_-fucosyllactose	2'-fucosyllactose	Food	compound_candidate	19	Bioactive	Bioactive
LLM:high-fat_diet	high-fat diet	Food	dietary_pattern	13	keep	keep
LLM:saccharomyces_boulardii	Saccharomyces boulardii	Food	high_confidence_microbe	12	Microbe	Microbe
LLM:vsl_3	VSL#3	Food	medium_microbe	11	Microbe	keep
LLM:chrysanthemum_morifolium_polysaccharide	Chrysanthemum morifolium polysaccharide	Food	compound_candidate	10	Bioactive	Bioactive
LLM:schisandra_chinensis_polysaccharide	Schisandra chinensis polysaccharide	Food	compound_candidate	9	Bioactive	Bioactive
LLM:red_meat_diet	red meat diet	Food	dietary_pattern	9	keep	keep
LLM:panax_notoginseng_saponins	Panax notoginseng saponins	Food	compound_candidate	8	Bioactive	Bioactive
LLM:carboxymethylcellulose	carboxymethylcellulose	Food	compound_candidate	8	Bioactive	Bioactive
LLM:chicoric_acid	chicoric acid	Food	compound_candidate	8	Bioactive	Bioactive
LLM:paeonol	paeonol	Food	compound_candidate	8	Bioactive	Bioactive
LLM:high-protein_diet	high-protein diet	Food	dietary_pattern	8	keep	keep
LLM:specific_carbohydrate_diet	specific carbohydrate diet	Food	dietary_pattern	8	keep	keep
LLM:akkermansia_muciniphila_extracellular_vesicles	Akkermansia muciniphila extracellular vesicles	Food	high_confidence_microbe	7	Microbe	Bioactive
LLM:bifidobacterium_bifidum_tmc3115	Bifidobacterium bifidum TMC3115	Food	high_confidence_microbe	7	Microbe	Microbe
LLM:lactobacillus_reuteri_dsm_17938	Lactobacillus reuteri DSM 17938	Food	high_confidence_microbe	7	Microbe	Microbe
LLM:4-sure_diet	4-SURE diet	Food	medium_microbe	7	Microbe	keep
LLM:mume_fructus_extract_mfe40	Mume Fructus extract MFE40	Food	medium_microbe	7	Microbe	keep
LLM:bletilla_striata_polysaccharide	Bletilla striata polysaccharide	Food	compound_candidate	7	Bioactive	Bioactive
LLM:dendrobium_officinale_polysaccharide	Dendrobium officinale polysaccharide	Food	compound_candidate	7	Bioactive	Bioactive
LLM:echinacea_purpurea_polysaccharide	Echinacea purpurea polysaccharide	Food	compound_candidate	7	Bioactive	Bioactive
LLM:fuzhuan_brick_tea_polysaccharide	Fuzhuan brick tea polysaccharide	Food	compound_candidate	7	Bioactive	Bioactive
LLM:salidroside	salidroside	Food	compound_candidate	7	Bioactive	Bioactive
LLM:sucralose	sucralose	Food	compound_candidate	7	Bioactive	Bioactive
LLM:tea_flower_polysaccharide	tea flower polysaccharide	Food	compound_candidate	7	Bioactive	Bioactive
LLM:tea_polysaccharides	tea polysaccharides	Food	compound_candidate	7	Bioactive	Bioactive
LLM:thyme_polyphenol	thyme polyphenol	Food	compound_candidate	7	Bioactive	keep
LLM:xylo-oligosaccharide	xylo-oligosaccharide	Food	compound_candidate	7	Bioactive	Bioactive
LLM:bacillus_clausii_ubbc-07	Bacillus clausii UBBC-07	Food	high_confidence_microbe	6	Microbe	Microbe
LLM:bifidobacterium_animalis_subsp_lactis_xltg11	Bifidobacterium animalis subsp. lactis XLTG11	Food	high_confidence_microbe	6	Microbe	Microbe
LLM:saccharomyces_cerevisiae_qhnld8l1	Saccharomyces cerevisiae QHNLD8L1	Food	high_confidence_microbe	6	Microbe	Microbe
LLM:allium_macrostemon_polysaccharide	Allium macrostemon polysaccharide	Food	compound_candidate	6	Bioactive	Bioactive
LLM:chinese_yam_polysaccharide	Chinese yam polysaccharide	Food	compound_candidate	6	Bioactive	Bioactive
LLM:panax_quinquefolius_polysaccharide	Panax quinquefolius polysaccharide	Food	compound_candidate	6	Bioactive	Bioactive
