id	label	type
BOLTE_FOOD_CLUSTER:Bread_Legumes	Bread_Legumes	Food
BOLTE_FOOD_CLUSTER:Cheese_Butter	Cheese_Butter	Food
BOLTE_FOOD_CLUSTER:Dairy_Cereals	Dairy_Cereals	Food
BOLTE_FOOD_CLUSTER:Dairy_Lean_beef	Dairy_Lean_beef	Food
BOLTE_FOOD_CLUSTER:Eggs_Alcoholic_drinks	Eggs_Alcoholic_drinks	Food
BOLTE_FOOD_CLUSTER:Fastfood	Fastfood	Food
BOLTE_FOOD_CLUSTER:Fish_Nuts	Fish_Nuts	Food
BOLTE_FOOD_CLUSTER:Meat_Potatoes_Gravy	Meat_Potatoes_Gravy	Food
BOLTE_FOOD_CLUSTER:Pasta_Pizza	Pasta_Pizza	Food
BOLTE_FOOD_CLUSTER:Porridge_ready_Fish_fried_Chocolatemilk	Porridge_ready_Fish_fried_Chocolatemilk	Food
BOLTE_FOOD_CLUSTER:Ready_meals	Ready_meals	Food
BOLTE_FOOD_CLUSTER:Savoury_snacks	Savoury_snacks	Food
BOLTE_FOOD_CLUSTER:Vegetables_Fruit_Tea	Vegetables_Fruit_Tea	Food
BOLTE_FOOD_CLUSTER:Wine_Alcohol	Wine_Alcohol	Food
BOLTE_MICROBE_CLUSTER:28_Haemophilus,_Veillonella	28_Haemophilus, Veillonella	Microbe
BOLTE_MICROBE_CLUSTER:S11_Bacteroides_faecis	S11_Bacteroides faecis	Microbe
BOLTE_MICROBE_CLUSTER:S13_Escherichia_coli,_Bacteroides_fragilis	S13_Escherichia coli, Bacteroides fragilis	Microbe
BOLTE_MICROBE_CLUSTER:S18_Lactobacillus_delbrueckii	S18_Lactobacillus delbrueckii	Microbe
BOLTE_MICROBE_CLUSTER:S1_Acetate_butyrate_producers	S1_Acetate/butyrate producers	Microbe
BOLTE_MICROBE_CLUSTER:S20_Lactococcus_lactis	S20_Lactococcus lactis	Microbe
BOLTE_MICROBE_CLUSTER:S21_Clostridium_bolteae,_Coprobacillus	S21_Clostridium bolteae, Coprobacillus	Microbe
BOLTE_MICROBE_CLUSTER:S8_Eggerthella_lenta,_Gordonibacter_pamelaeae	S8_Eggerthella lenta, Gordonibacter pamelaeae	Microbe
CHEBI:10860	2-Methylcitrate	Bioactive
CHEBI:10979	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate	Bioactive
CHEBI:1098	2-Formaminobenzoylacetate	Bioactive
CHEBI:10983	(R)-3-Hydroxybutanoate	Bioactive
CHEBI:1148	2-Hydroxybutanoic acid	Bioactive
CHEBI:13086	L-Aspartate 4-semialdehyde	Bioactive
CHEBI:131603	Sucrose 6-phosphate	Bioactive
CHEBI:13705	Acetoacetate	Bioactive
CHEBI:138379	Ursodeoxycholoyl-CoA	Bioactive
CHEBI:138876	Cygnocholate	Bioactive
CHEBI:138877	Glucoselysine	Bioactive
CHEBI:1438	3-(Methylthio)propanoate	Bioactive
CHEBI:1461	3-Butynoate	Bioactive
CHEBI:15226	Tetrathionate	Bioactive
CHEBI:15343	Acetaldehyde	Bioactive
CHEBI:15345	Acetoacetyl-CoA	Bioactive
CHEBI:15347	Acetone	Bioactive
CHEBI:15351	Acetyl-CoA	Bioactive
CHEBI:15354	choline	Bioactive
CHEBI:15361	Pyruvate	Bioactive
CHEBI:15363	N-Acetylindoxyl	Bioactive
CHEBI:15364	Propynoate	Bioactive
CHEBI:15380	Succinyl-CoA	Bioactive
CHEBI:15428	Glycine	Bioactive
CHEBI:15443	inulin	Bioactive
CHEBI:15452	(R)-3-Hydroxybutanoyl-CoA	Bioactive
CHEBI:15453	(S)-3-Hydroxybutanoyl-CoA	Bioactive
CHEBI:15465	(R)-Methylmalonyl-CoA	Bioactive
CHEBI:15466	(S)-Methylmalonyl-CoA	Bioactive
CHEBI:15467	(S)-3-Hydroxy-3-methylglutaryl-CoA	Bioactive
CHEBI:15473	Crotonoyl-CoA	Bioactive
CHEBI:15497	Glutaconyl-1-CoA	Bioactive
CHEBI:15507	beta-Alanyl-CoA	Bioactive
CHEBI:15513	Propenoyl-CoA	Bioactive
CHEBI:15517	Butanoyl-CoA	Bioactive
CHEBI:15519	Choloyl-CoA	Bioactive
CHEBI:15524	Glutaryl-CoA	Bioactive
CHEBI:15529	Lactoyl-CoA	Bioactive
CHEBI:15531	Malonyl-CoA	Bioactive
CHEBI:15539	Propanoyl-CoA	Bioactive
CHEBI:15543	Vinylacetyl-CoA	Bioactive
CHEBI:15588	(R)-Malate	Bioactive
CHEBI:15607	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	Bioactive
CHEBI:15686	(R)-Acetoin	Bioactive
CHEBI:15687	(S)-Acetoin	Bioactive
CHEBI:15699	L-Homoserine	Bioactive
CHEBI:15703	Maltose 6'-phosphate	Bioactive
CHEBI:15725	1,3-Diaminopropane	Bioactive
CHEBI:15727	Carnosine	Bioactive
CHEBI:15741	Succinate	Bioactive
CHEBI:15743	Butanal	Bioactive
CHEBI:15745	2-Aminomuconate semialdehyde	Bioactive
CHEBI:15746	Spermine	Bioactive
CHEBI:15751	ADP-glucose	Bioactive
CHEBI:15753	2-Oxoadipate	Bioactive
CHEBI:15784	N-Acetyl-D-glucosamine 6-phosphate	Bioactive
CHEBI:15785	1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine	Bioactive
CHEBI:15792	Malonate	Bioactive
CHEBI:15793	3-Hydroxyanthranilate	Bioactive
CHEBI:15835	Acylglycerone phosphate	Bioactive
CHEBI:15843	arachidonic acid	Bioactive
CHEBI:15847	2-O-(alpha-D-Mannosyl)-D-glycerate	Bioactive
CHEBI:15850	1-Alkyl-sn-glycerol	Bioactive
CHEBI:15873	D-Glucosamine 6-phosphate	Bioactive
