foodb_compound_id	foodb_compound_name	chebi_id	chebi_label	match_source	match_type
4	Cyanidin 3-(6''-acetyl-galactoside)	CHEBI:168391	Cyanidin 3-(6''-acetyl-galactoside)	primary_name	exact_label
48	p-Coumaroyl vitisin A	CHEBI:191560	P-Coumaroyl vitisin A	primary_name	exact_label
52	Pinotin A	CHEBI:189581	Pinotin A	primary_name	exact_label
78	Luteolinidin	CHEBI:6584	luteolinidin	primary_name	exact_label
189	"Quercetin 3-O-(6""-malonyl-glucoside) 7-O-glucoside"	CHEBI:141132	quercetin 3-O-(6''-malonyl-glucoside) 7-O-glucoside	primary_name	exact_label
298	Caffeoyl aspartic acid	CHEBI:174800	Caffeoyl aspartic acid	primary_name	exact_label
346	3,4-DHPEA-EA	CHEBI:89421	3,4-DHPEA-EA	primary_name	exact_label
362	Estradiol	CHEBI:23965	estradiol	primary_name	exact_label
370	Ophiopogonin C'	CHEBI:80884	Ophiopogonin C	primary_name	exact_label
371	Erythritol	CHEBI:17113	erythritol	primary_name	exact_label
372	Canescein	CHEBI:189972	Canescein	primary_name	exact_label
375	Asparagoside B	CHEBI:169892	Asparagoside B	primary_name	exact_label
377	(3beta,5alpha)-Ergosta-7,23-dien-3-ol	CHEBI:175190	(3beta,5alpha)-Ergosta-7,23-dien-3-ol	primary_name	exact_label
380	1-Methoxyphaseollidin	CHEBI:175554	1-Methoxyphaseollidin	primary_name	exact_label
381	(3beta,5alpha,6alpha)-Cholest-8-ene-3,6-diol	CHEBI:192017	(3beta,5alpha,6alpha)-Cholest-8-ene-3,6-diol	primary_name	exact_label
396	Mucronine D	CHEBI:230305	Mucronine D	primary_name	exact_label
397	Nummularine A	CHEBI:176271	Nummularine A	primary_name	exact_label
398	Oxoglaucine	CHEBI:188970	Oxoglaucine	primary_name	exact_label
404	beta1-Tomatidine	CHEBI:191536	Beta1-Tomatidine	primary_name	exact_label
405	Blepharin	CHEBI:169255	Blepharin	primary_name	exact_label
406	Murrayenol	CHEBI:169189	Murrayenol	primary_name	exact_label
413	Neryl glucoside	CHEBI:169359	Neryl glucoside	primary_name	exact_label
414	Neryl arabinofuranosyl-glucoside	CHEBI:168568	Neryl arabinofuranosyl-glucoside	primary_name	exact_label
418	Galactosyl 4-hydroxyproline	CHEBI:191531	Galactosyl 4-hydroxyproline	primary_name	exact_label
419	4-Hydroxyproline galactoside	CHEBI:173176	4-Hydroxyproline galactoside	primary_name	exact_label
420	N-Phenylacetylaspartic acid	CHEBI:174316	N-Phenylacetylaspartic acid	primary_name	exact_label
423	5Z-Octenyl acetate	CHEBI:180218	5Z-Octenyl acetate	primary_name	exact_label
427	(R)-1-O-b-D-glucopyranosyl-1,3-octanediol	CHEBI:168463	(R)-1-O-b-D-glucopyranosyl-1,3-octanediol	primary_name	exact_label
429	Salsolinol	CHEBI:194220	salsolinol	primary_name	exact_label
439	O-Methylcorypalline	CHEBI:192040	O-Methylcorypalline	primary_name	exact_label
442	2'-Hydroxydaidzein	CHEBI:27479	2'-hydroxydaidzein	primary_name	exact_label
443	Solacauline	CHEBI:229945	solacauline	primary_name	exact_label
446	L-Tyrosine	CHEBI:17895	L-tyrosine	primary_name	exact_label
447	Papaverine	CHEBI:28241	papaverine	primary_name	exact_label
453	Theophylline	CHEBI:28177	theophylline	primary_name	exact_label
455	Theobromine	CHEBI:28946	theobromine	primary_name	exact_label
460	Chlorogenoquinone	CHEBI:168246	Chlorogenoquinone	primary_name	exact_label
461	L-Saccharopine	CHEBI:16927	L-saccharopine	primary_name	exact_label
467	Isodesmosine	CHEBI:64366	isodesmosine	primary_name	exact_label
474	L-Lysine	CHEBI:18019	L-lysine	primary_name	exact_label
476	N6-Acetyl-L-lysine	CHEBI:17752	N(6)-acetyl-L-lysine	primary_name	exact_label
479	gamma-L-Glutamyl-S-(2-carboxy-1-propyl)cysteinylglycine	CHEBI:168988	gamma-L-Glutamyl-S-(2-carboxy-1-propyl)cysteinylglycine	primary_name	exact_label
484	Glycine	CHEBI:15428	glycine	primary_name	exact_label
488	Ochratoxin A	CHEBI:7719	ochratoxin A	primary_name	exact_label
491	L-2-Amino-3-(oxalylamino)propanoic acid	CHEBI:173808	L-2-Amino-3-(oxalylamino)propanoic acid	primary_name	exact_label
