kegg_id	chebi_id
C00001	CHEBI:15377
C00002	CHEBI:15422
C00003	CHEBI:15846
C00004	CHEBI:16908
C00005	CHEBI:16474
C00006	CHEBI:18009
C00007	CHEBI:15379
C00008	CHEBI:16761
C00009	CHEBI:18367
C00010	CHEBI:15346
C00011	CHEBI:16526
C00012	CHEBI:16670
C00013	CHEBI:18361
C00014	CHEBI:16134
C00015	CHEBI:17659
C00016	CHEBI:16238
C00017	CHEBI:16541
C00018	CHEBI:18405
C00019	CHEBI:15414
C00020	CHEBI:16027
C00021	CHEBI:16680
C00022	CHEBI:15361
C00023	CHEBI:18248
C00024	CHEBI:15351
C00025	CHEBI:16015
C00026	CHEBI:16810
C00027	CHEBI:16240
C00028	CHEBI:15339
C00029	CHEBI:18066
C00030	CHEBI:17499
C00031	CHEBI:4167
C00032	CHEBI:17627
C00033	CHEBI:15366
C00034	CHEBI:18291
C00035	CHEBI:17552
C00036	CHEBI:16452
C00037	CHEBI:15428
C00038	CHEBI:27363
C00039	CHEBI:16991
C00040	CHEBI:17984
C00041	CHEBI:16977
C00042	CHEBI:15741
C00043	CHEBI:16264
C00044	CHEBI:15996
C00045	CHEBI:33704
C00046	CHEBI:18273
C00047	CHEBI:18019
C00048	CHEBI:16891
C00049	CHEBI:17053
C00050	CHEBI:33521
C00051	CHEBI:16856
C00052	CHEBI:18307
C00053	CHEBI:17980
C00054	CHEBI:17985
C00055	CHEBI:17361
C00058	CHEBI:15740
C00059	CHEBI:16189
C00060	CHEBI:35757
C00061	CHEBI:17621
C00062	CHEBI:16467
C00063	CHEBI:17677
C00064	CHEBI:18050
C00065	CHEBI:17115
C00066	CHEBI:17843
C00067	CHEBI:16842
C00068	CHEBI:9532
C00069	CHEBI:30879
C00070	CHEBI:28694
C00071	CHEBI:17478
C00072	CHEBI:29073
C00073	CHEBI:16643
C00074	CHEBI:18021
C00075	CHEBI:15713
C00076	CHEBI:22984
C00077	CHEBI:15729
C00078	CHEBI:16828
C00079	CHEBI:17295
C00080	CHEBI:15378
C00081	CHEBI:16039
C00082	CHEBI:17895
C00083	CHEBI:15531
C00084	CHEBI:15343
C00085	CHEBI:15946
C00086	CHEBI:16199
C00087	CHEBI:17909
C00088	CHEBI:16301
C00089	CHEBI:17992
C00090	CHEBI:18135
C00091	CHEBI:15380
C00092	CHEBI:4170
C00093	CHEBI:15978
C00094	CHEBI:48854
C00095	CHEBI:15824
C00096	CHEBI:15820
C00097	CHEBI:17561
C00099	CHEBI:16958
C00100	CHEBI:15539
C00101	CHEBI:15635
C00102	CHEBI:945
C00103	CHEBI:29042
C00104	CHEBI:17808
C00105	CHEBI:16695
C00106	CHEBI:17568
C00107	CHEBI:46761
C00108	CHEBI:16567
C00109	CHEBI:16763
C00110	CHEBI:16214
C00111	CHEBI:16108
C00112	CHEBI:17239
C00113	CHEBI:18315
C00114	CHEBI:15354
C00116	CHEBI:17754
C00117	CHEBI:17797
C00118	CHEBI:29052
C00119	CHEBI:17111
C00120	CHEBI:15956
C00121	CHEBI:47013
C00122	CHEBI:18012
C00123	CHEBI:15603
C00124	CHEBI:4139
C00125	CHEBI:15991
C00126	CHEBI:16928
C00127	CHEBI:17858
C00128	CHEBI:16556
C00129	CHEBI:16584
C00130	CHEBI:17202
C00131	CHEBI:16284
C00132	CHEBI:17790
C00133	CHEBI:15570
C00134	CHEBI:17148
C00135	CHEBI:15971
C00136	CHEBI:15517
C00137	CHEBI:17268
C00138	CHEBI:17513
C00139	CHEBI:17908
C00140	CHEBI:506227
C00141	CHEBI:11851
C00143	CHEBI:1989
C00144	CHEBI:17345
C00145	CHEBI:29256
C00146	CHEBI:15882
C00147	CHEBI:16708
C00148	CHEBI:17203
C00149	CHEBI:15589
C00150	CHEBI:28685
C00151	CHEBI:15705
C00152	CHEBI:17196
C00153	CHEBI:17154
C00154	CHEBI:15525
C00155	CHEBI:17588
C00156	CHEBI:17879
C00157	CHEBI:16110
C00158	CHEBI:16947
C00159	CHEBI:4208
C00160	CHEBI:17497
C00161	CHEBI:35910
C00162	CHEBI:35366
C00163	CHEBI:17272
C00164	CHEBI:13705
C00165	CHEBI:18035
C00166	CHEBI:18005
C00167	CHEBI:17200
C00168	CHEBI:17180
C00169	CHEBI:17672
C00170	CHEBI:17509
C00173	CHEBI:16018
C00174	CHEBI:37527
C00175	CHEBI:27638
C00176	CHEBI:30527
C00177	CHEBI:17514
C00178	CHEBI:17821
C00179	CHEBI:17431
C00180	CHEBI:16150
C00181	CHEBI:15936
C00182	CHEBI:28087
C00183	CHEBI:16414
C00184	CHEBI:16016
C00185	CHEBI:17057
C00186	CHEBI:422
C00187	CHEBI:16113
C00188	CHEBI:16857
C00189	CHEBI:16000
C00190	CHEBI:16082
C00191	CHEBI:4178
C00192	CHEBI:15429
C00193	CHEBI:17169
C00194	CHEBI:18408
C00195	CHEBI:17761
C00196	CHEBI:18026
C00197	CHEBI:17794
C00198	CHEBI:16217
C00199	CHEBI:17363
C00200	CHEBI:8055
C00201	CHEBI:17326
C00202	CHEBI:17941
C00203	CHEBI:67168
C00204	CHEBI:17032
C00205	CHEBI:30212
C00206	CHEBI:16174
C00207	CHEBI:15347
C00208	CHEBI:17306
C00209	CHEBI:16995
C00210	CHEBI:3796
C00211	CHEBI:3815
C00212	CHEBI:16335
C00213	CHEBI:15611
C00214	CHEBI:17748
C00215	CHEBI:36976
C00216	CHEBI:17108
C00217	CHEBI:15966
C00218	CHEBI:16830
C00219	CHEBI:15843
C00220	CHEBI:6872
C00221	CHEBI:15903
C00222	CHEBI:17960
C00223	CHEBI:15499
C00224	CHEBI:17709
C00225	CHEBI:28786
C00226	CHEBI:15734
C00227	CHEBI:15350
C00229	CHEBI:18359
C00230	CHEBI:36062
C00231	CHEBI:16332
C00232	CHEBI:16265
C00233	CHEBI:17865
C00234	CHEBI:15637
C00235	CHEBI:16057
C00236	CHEBI:16001
C00237	CHEBI:17245
C00238	CHEBI:26216
C00239	CHEBI:15918
C00240	CHEBI:18111
C00241	CHEBI:32988
C00242	CHEBI:16235
C00243	CHEBI:17716
C00244	CHEBI:48107
C00245	CHEBI:15891
C00246	CHEBI:17968
C00247	CHEBI:48649
C00248	CHEBI:17460
C00249	CHEBI:15756
C00250	CHEBI:17310
C00251	CHEBI:17333
C00252	CHEBI:28189
C00253	CHEBI:15940
C00254	CHEBI:29934
C00255	CHEBI:17015
C00256	CHEBI:16004
C00257	CHEBI:18391
C00258	CHEBI:16659
C00259	CHEBI:17535
C00261	CHEBI:17169
C00262	CHEBI:17368
C00263	CHEBI:15699
C00264	CHEBI:15489
C00265	CHEBI:18320
C00266	CHEBI:17071
C00267	CHEBI:17925
C00268	CHEBI:43120
C00269	CHEBI:17962
C00270	CHEBI:17012
C00272	CHEBI:15372
C00273	CHEBI:17011
C00275	CHEBI:17369
C00279	CHEBI:48153
C00280	CHEBI:16422
C00282	CHEBI:18276
C00283	CHEBI:16136
C00284	CHEBI:4735
C00286	CHEBI:16497
C00288	CHEBI:17544
C00290	CHEBI:5054
C00291	CHEBI:28112
C00292	CHEBI:17296
C00294	CHEBI:17596
C00295	CHEBI:16742
C00296	CHEBI:17521
C00297	CHEBI:16385
C00298	CHEBI:9765
C00299	CHEBI:16704
C00300	CHEBI:16919
C00301	CHEBI:16960
C00302	CHEBI:18237
C00303	CHEBI:28300
C00304	CHEBI:6104
C00305	CHEBI:18420
C00307	CHEBI:16436
C00308	CHEBI:609827
C00309	CHEBI:17173
C00310	CHEBI:17140
C00311	CHEBI:16087
C00312	CHEBI:17399
C00313	CHEBI:15535
C00314	CHEBI:16709
C00315	CHEBI:16610
C00317	CHEBI:28057
C00318	CHEBI:16347
C00319	CHEBI:16393
C00320	CHEBI:33539
C00322	CHEBI:15753
C00323	CHEBI:15518
C00324	CHEBI:5020
C00325	CHEBI:13332
C00326	CHEBI:17089
C00327	CHEBI:16349
C00328	CHEBI:16946
C00329	CHEBI:47977
C00330	CHEBI:17172
C00331	CHEBI:29750
C00332	CHEBI:15345
C00333	CHEBI:4153
C00334	CHEBI:16865
C00337	CHEBI:17025
C00338	CHEBI:16412
C00339	CHEBI:17135
C00341	CHEBI:17211
C00342	CHEBI:15033
C00343	CHEBI:18191
C00344	CHEBI:17517
C00345	CHEBI:48928
C00346	CHEBI:17553
C00347	CHEBI:6526
C00348	CHEBI:16141
C00349	CHEBI:16256
C00350	CHEBI:16038
C00352	CHEBI:15873
C00353	CHEBI:48861
C00354	CHEBI:16905
C00355	CHEBI:15765
C00356	CHEBI:15467
C00357	CHEBI:15784
C00360	CHEBI:17713
C00361	CHEBI:28862
C00362	CHEBI:16192
C00363	CHEBI:18075
C00364	CHEBI:17013
C00365	CHEBI:17622
C00366	CHEBI:17775
C00369	CHEBI:28017
