pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	confidence	notes
33467906	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35266174	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35415669	T1	Aspergillus oryzae	Food	increases_abundance_of	Bifidobacterium pseudolongum	Microbe	after the administration of heat-killed A. oryzae spores, the relative abundance of an anti-inflammatory Bifidobacterium pseudolongum strain became 2.0-fold greater than that of the control	animal	0.85	DSS mouse model; heat-killed spores used
35415669	T2	Aspergillus oryzae	Food	decreases_marker	colitis	IBD_Outcome	we examined the effect of A. oryzae spore administration on the development of colitis induced by dextran sodium sulfate in mice; we found that colitis was alleviated by not only heat-killed A. oryzae spores, but also the cell wall extracted from the spores	animal	0.85	DSS-induced colitis in mice; both whole spores and cell wall extract showed alleviating effect
36124900	T1	vitexin	Food	decreases_marker	ulcerative colitis	IBD_Outcome	vitexin administration could significantly alleviate the signs of colitis via suppressing body weight loss, reducing disease activity index (DAI) score, and mitigating colonic damage	animal	0.8	DSS-induced UC mouse model; vitexin is a major active component from hawthorn (botanical)
36124900	T2	vitexin	Food	increases_abundance_of	Bacteroides	Microbe	Vitexin is beneficial for regulating abundances of some certain bacteria, such as Bacteroides	animal	0.75	DSS colitis mice model; Bacteroides listed as regulated by vitexin
36124900	T3	vitexin	Food	decreases_abundance_of	Helicobacter	Microbe	Vitexin is beneficial for regulating abundances of some certain bacteria, such as Bacteroides, Helicobacter, Alistipes, Lachnospiraceae_NK4A136_group, and Lachnospiraceae_UCG-006	animal	0.7	DSS colitis mice; Helicobacter typically reduced in colitis treatment contexts; included as regulated taxon
33878569	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35323707	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40806196	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33575556	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33227279	T1	Fusobacterium nucleatum	Microbe	increased_in	Clostridioides difficile infection	IBD_Outcome	publicly available data sets and patient stool samples showed that a subset of patients with C difficile infection harbored high levels of Fusobacterium species	cohort	0.8	Direct observation in patient samples; C. difficile infection can present with dysbiosis similar to IBD-related microbiota disruption
41465348	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
34602091	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31400403	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40612235	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38825119	T1	fermented goat milk	Food	decreases_abundance_of	Desulfovibrio	Microbe	LAF alleviated d-galactose-induced dysbiosis of the intestinal flora by reducing the abundance of harmful bacteria Desulfovibrio and Helicobacter	animal	0.8	d-galactose-induced aging mouse model; LAF = Lactiplantibacillus plantarum JS19-fermented goat milk
38825119	T2	fermented goat milk	Food	decreases_abundance_of	Helicobacter	Microbe	LAF alleviated d-galactose-induced dysbiosis of the intestinal flora by reducing the abundance of harmful bacteria Desulfovibrio and Helicobacter	animal	0.8	d-galactose-induced aging mouse model; LAF = Lactiplantibacillus plantarum JS19-fermented goat milk
