pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	confidence	notes
29987405	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31536729	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
30410105	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
42079325	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40834531	T1	rosmarinic acid	Food	decreases_marker	ulcerative colitis	IBD_Outcome	In a dextran sulfate sodium (DSS)-induced murine colitis model, RA administration significantly attenuated disease severity, mitigating weight loss, preventing colon shortening, and reducing histopathological inflammatory infiltration.	animal	0.8	DSS-induced murine colitis model; polyphenolic compound administered as dietary intervention
27886121	T1	sodium butyrate	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Sodium butyrate ameliorated histological colitis and decreased levels of tumor necrosis factor (TNF)-α and IL-6 in IL-10-/- mice	animal	0.8	IL-10 knockout mouse model of colitis; n=4/group
27886121	T2	sodium butyrate	Food	increases_abundance_of	Firmicutes	Microbe	At the phylum level, a reduction in Bacteroidetes and an increase in Firmicutes in IL-10-/- mice treated with sodium butyrate were observed	animal	0.8	IL-10 knockout mouse model
27886121	T3	sodium butyrate	Food	decreases_abundance_of	Bacteroidetes	Microbe	At the phylum level, a reduction in Bacteroidetes and an increase in Firmicutes in IL-10-/- mice treated with sodium butyrate were observed	animal	0.8	IL-10 knockout mouse model
27886121	T4	sodium butyrate	Food	decreases_abundance_of	Prevotellaceae	Microbe	Prevotellaceae species were reduced in IL-10-/- mice treated with sodium butyrate as compared with those without treatment	animal	0.8	IL-10 knockout mouse model; family level
40058317	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33607296	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40459422	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
30606236	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
30588920	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41687519	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
