subject_id	subject_label	subject_type	predicate	object_id	object_label	object_type	source	source_id	publication_id	evidence_type	confidence	sample_type	notes	method
BOLTE_FOOD_CLUSTER:Meat_Potatoes_Gravy	Meat_Potatoes_Gravy	Food	increases_marker	HP:0040156	elevated fecal calprotectin	IBD_Outcome	Bolte2021	S5:Calpro_D40|Meat_Potatoes_Gravy	10.1136/gutjnl-2020-322670	observational	0.88	Faeces	beta=0.218; FDR=0.00041; Het.Pval=0.44	meta-analysis of 4 cohorts (n=1425)
BOLTE_FOOD_CLUSTER:Fastfood	Fastfood	Food	increases_marker	HP:0040156	elevated fecal calprotectin	IBD_Outcome	Bolte2021	S5:Calpro_D40|Fastfood	10.1136/gutjnl-2020-322670	observational	0.85	Faeces	beta=0.242; FDR=0.0032; Het.Pval=0.49	meta-analysis of 4 cohorts (n=1425)
BOLTE_FOOD_CLUSTER:Porridge_ready_Fish_fried_Chocolatemilk	Porridge_ready_Fish_fried_Chocolatemilk	Food	increases_marker	UBERON:NA	chromogranin A level	IBD_Outcome	Bolte2021	S5:ChrA|Porridge_ready_Fish_fried_Chocolatemilk	10.1136/gutjnl-2020-322670	observational	0.85	Faeces	beta=2.18; FDR=0.0047; Het.Pval=0.46	meta-analysis of 4 cohorts (n=1425)
BOLTE_FOOD_CLUSTER:Bread_Legumes	Bread_Legumes	Food	decreases_marker	UBERON:NA	chromogranin A level	IBD_Outcome	Bolte2021	S5:ChrA|Bread_Legumes	10.1136/gutjnl-2020-322670	observational	0.85	Faeces	beta=-2.48; FDR=0.005; Het.Pval=0.45	meta-analysis of 4 cohorts (n=1425)
BOLTE_FOOD_CLUSTER:Ready_meals	Ready_meals	Food	decreases_marker	HP:0040156	elevated fecal calprotectin	IBD_Outcome	Bolte2021	S5:Calpro_D40|Ready_meals	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	beta=-0.101; FDR=0.028; Het.Pval=0.95	meta-analysis of 4 cohorts (n=1425)
BOLTE_FOOD_CLUSTER:Cheese_Butter	Cheese_Butter	Food	decreases_marker	HP:0040156	elevated fecal calprotectin	IBD_Outcome	Bolte2021	S5:Calpro_D40|Cheese_Butter	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	beta=-0.0955; FDR=0.031; Het.Pval=0.62	meta-analysis of 4 cohorts (n=1425)
BOLTE_FOOD_CLUSTER:Fish_Nuts	Fish_Nuts	Food	decreases_marker	HP:0040156	elevated fecal calprotectin	IBD_Outcome	Bolte2021	S5:Calpro_D40|Fish_Nuts	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	beta=-0.102; FDR=0.038; Het.Pval=0.24	meta-analysis of 4 cohorts (n=1425)
BOLTE_FOOD_CLUSTER:Dairy_Lean_beef	Dairy_Lean_beef	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S18_Lactobacillus_delbrueckii	S18_Lactobacillus delbrueckii	Microbe	Bolte2021	S4:S18_Lactobacillus delbrueckii|Dairy_Lean_beef	10.1136/gutjnl-2020-322670	observational	0.88	Faeces	direction=positive; beta=0.198; FDR=3.7e-05	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Vegetables_Fruit_Tea	Vegetables_Fruit_Tea	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:28_Haemophilus,_Veillonella	28_Haemophilus, Veillonella	Microbe	Bolte2021	S4:28_Haemophilus, Veillonella|Vegetables_Fruit_Tea	10.1136/gutjnl-2020-322670	observational	0.85	Faeces	direction=positive; beta=0.0411; FDR=0.0013	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Wine_Alcohol	Wine_Alcohol	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S1_Acetate_butyrate_producers	S1_Acetate/butyrate producers	Microbe	Bolte2021	S4:S1_Acetate/butyrate producers|Wine_Alcohol	10.1136/gutjnl-2020-322670	observational	0.85	Faeces	direction=positive; beta=0.036; FDR=0.0016	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Dairy_Lean_beef	Dairy_Lean_beef	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S20_Lactococcus_lactis	S20_Lactococcus lactis	Microbe	Bolte2021	S4:S20_Lactococcus lactis|Dairy_Lean_beef	10.1136/gutjnl-2020-322670	observational	0.85	Faeces	direction=positive; beta=0.074; FDR=0.0094	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Eggs_Alcoholic_drinks	Eggs_Alcoholic_drinks	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S1_Acetate_butyrate_producers	S1_Acetate/butyrate producers	Microbe	Bolte2021	S4:S1_Acetate/butyrate producers|Eggs_Alcoholic_drinks	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	direction=positive; beta=0.0425; FDR=0.014	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Eggs_Alcoholic_drinks	Eggs_Alcoholic_drinks	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S8_Eggerthella_lenta,_Gordonibacter_pamelaeae	S8_Eggerthella lenta, Gordonibacter pamelaeae	Microbe	Bolte2021	S4:S8_Eggerthella lenta, Gordonib|Eggs_Alcoholic_drinks	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	direction=negative; beta=-0.104; FDR=0.014	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Bread_Legumes	Bread_Legumes	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S13_Escherichia_coli,_Bacteroides_fragilis	S13_Escherichia coli, Bacteroides fragilis	Microbe	Bolte2021	S4:S13_Escherichia coli, Bacteroi|Bread_Legumes	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	direction=negative; beta=-0.0655; FDR=0.015	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Dairy_Cereals	Dairy_Cereals	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S18_Lactobacillus_delbrueckii	S18_Lactobacillus delbrueckii	Microbe	Bolte2021	S4:S18_Lactobacillus delbrueckii|Dairy_Cereals	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	direction=positive; beta=0.129; FDR=0.025	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Fastfood	Fastfood	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S21_Clostridium_bolteae,_Coprobacillus	S21_Clostridium bolteae, Coprobacillus	Microbe	Bolte2021	S4:S21_Clostridium bolteae, Copro|Fastfood	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	direction=positive; beta=0.057; FDR=0.04	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Savoury_snacks	Savoury_snacks	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S11_Bacteroides_faecis	S11_Bacteroides faecis	Microbe	Bolte2021	S4:S11_Bacteroides faecis|Savoury_snacks	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	direction=positive; beta=0.18; FDR=0.044	cluster-level meta-analysis
BOLTE_FOOD_CLUSTER:Pasta_Pizza	Pasta_Pizza	Food	modulates_cluster	BOLTE_MICROBE_CLUSTER:S11_Bacteroides_faecis	S11_Bacteroides faecis	Microbe	Bolte2021	S4:S11_Bacteroides faecis|Pasta_Pizza	10.1136/gutjnl-2020-322670	observational	0.8	Faeces	direction=positive; beta=0.158; FDR=0.047	cluster-level meta-analysis
PO:0009001	fruit	Food	increases_abundance_of	NCBITaxon:39485	Lachnospira eligens	Microbe	Bolte2021	S7:k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_eligens.t__GCF_000146185|fruit	10.1136/gutjnl-2020-322670	observational	0.92	Faeces	beta=0.0912; FDR=8e-10; Het.Pval=0.15; rank=species	shotgun metagenomics + FFQ; meta-analysis across 4 cohorts (n=1425)
PO:0009001	fruit	Food	increases_abundance_of	NCBITaxon:328814	Alistipes shahii	Microbe	Bolte2021	S7:k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii.t__GCF_000210575|fruit	10.1136/gutjnl-2020-322670	observational	0.88	Faeces	beta=0.0508; FDR=2.8e-05; Het.Pval=0.23; rank=species	shotgun metagenomics + FFQ; meta-analysis across 4 cohorts (n=1425)
FOODON:03303171	nut	Food	increases_abundance_of	NCBITaxon:301301	Roseburia hominis	Microbe	Bolte2021	S7:k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_hominis.t__GCF_000225345|group_nuts	10.1136/gutjnl-2020-322670	observational	0.88	Faeces	beta=0.629; FDR=3.8e-05; Het.Pval=0.07; rank=species	shotgun metagenomics + FFQ; meta-analysis across 4 cohorts (n=1425)
FOODON:03301036	coffee (liquid drink)	Food	increases_abundance_of	NCBITaxon:459786	Oscillibacter	Microbe	Bolte2021	S7:k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae.g__Oscillibacter.s__Oscillibacter_unclassified|group_coffee	10.1136/gutjnl-2020-322670	observational	0.88	Faeces	beta=0.0225; FDR=8.4e-05; Het.Pval=0.072; rank=genus	shotgun metagenomics + FFQ; meta-analysis across 4 cohorts (n=1425)
FOODON:03310272	red wine	Food	increases_abundance_of	NCBITaxon:853	Faecalibacterium prausnitzii	Microbe	Bolte2021	S7:k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii|wine_red	10.1136/gutjnl-2020-322670	observational	0.88	Faeces	beta=0.539; FDR=0.00028; Het.Pval=0.091; rank=species	shotgun metagenomics + FFQ; meta-analysis across 4 cohorts (n=1425)
NCBITaxon:7898	Actinopterygii	Food	decreases_abundance_of	NCBITaxon:31953	Bifidobacteriaceae	Microbe	Bolte2021	S7:k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae|group_fish	10.1136/gutjnl-2020-322670	observational	0.88	Faeces	beta=-2.41; FDR=0.00055; Het.Pval=0.46; rank=family	shotgun metagenomics + FFQ; meta-analysis across 4 cohorts (n=1425)
