subject_id	subject_label	subject_type	predicate	object_id	object_label	object_type	source	source_id	publication_id	evidence_type	confidence	sample_type	notes	method
NCBITaxon:853	Faecalibacterium prausnitzii	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	20	3	observational	0.8	Faeces		Denaturating gradient gel electrophoresis (DGGE)
NCBITaxon:33038	Ruminococcus gnavus	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	21	3	observational	0.8	Faeces		Denaturating gradient gel electrophoresis (DGGE)
NCBITaxon:218538	Dialister invisus	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	22	3	observational	0.8	Faeces		Denaturating gradient gel electrophoresis (DGGE)
NCBITaxon:1680	Bifidobacterium adolescentis	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	23	3	observational	0.8	Faeces		Denaturating gradient gel electrophoresis (DGGE)
NCBITaxon:853	Faecalibacterium prausnitzii	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	24	3	observational	0.8	Faeces		qPCR
NCBITaxon:33038	Ruminococcus gnavus	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	25	3	observational	0.8	Faeces		qPCR
NCBITaxon:1680	Bifidobacterium adolescentis	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	26	3	observational	0.8	Faeces		qPCR
NCBITaxon:33033	Parvimonas micra	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	27	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:28132	Prevotella melaninogenica	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	28	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1261	Peptostreptococcus anaerobius	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	29	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1280	Staphylococcus aureus	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	30	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1328	Streptococcus anginosus	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	31	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1309	Streptococcus mutans	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	32	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:827	Bacteroides ureolyticus	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	33	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:824	Campylobacter gracilis	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	34	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:28132	Prevotella melaninogenica	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	35	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1280	Staphylococcus aureus	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	36	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1328	Streptococcus anginosus	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	37	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1338	Streptococcus intermedius	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	38	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1309	Streptococcus mutans	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	39	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:33033	Parvimonas micra	Microbe	decreased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	40	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1261	Peptostreptococcus anaerobius	Microbe	decreased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	41	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1280	Staphylococcus aureus	Microbe	increased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	42	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:1328	Streptococcus anginosus	Microbe	decreased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	43	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:28037	Streptococcus mitis	Microbe	decreased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	44	4	observational	0.85	Subgingival plaque		DNA-DNA hybridization
NCBITaxon:244127	Anaerotruncus	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	173	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:1409	Bacillus	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	174	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:29523	Bacteroides	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	175	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:698776	Cellulosilyticum	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	176	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:990721	Christensenella	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	177	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:544	Citrobacter	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	178	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:33042	Coprococcus	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	179	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:885	Desulfovibrio	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	180	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:42895	Enterobacter	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	181	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:142586	Eubacterium	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	182	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:216851	Faecalibacterium	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	183	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:61170	Holdemania	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	184	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:28050	Lachnospira	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	185	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:1591	Lactobacillus	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	186	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:283168	Odoribacter	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	187	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:1869337	Parabacteroides	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	188	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:59823	Prevotella	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	189	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:1017280	Pseudoflavonifractor	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	190	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:841	Roseburia	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	191	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:41978	Ruminococcus	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	192	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:1266	Sarcina	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	193	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:292632	Subdoligranulum	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	194	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:191303	Turicibacter	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	195	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:29317	Actinomyces	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	196	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:41200	Bifidobacterium	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	197	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:35783	Enterococcus	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	198	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:561	Escherichia	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	199	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:871665	Blautia faecis	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	200	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:360807	Roseburia Inulinivorans	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	201	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:33039	Ruminococcus torques	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	202	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:460384	Clostridium lavalense	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	203	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:820	Bacteriodes uniformis	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	204	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:853	Faecalibacterium prausnitzii	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	205	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:626937	Christensenella minuta	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	206	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:61171	Holdemania filiformis	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	207	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:290055	Eubacterium fissicatena	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	208	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:292800	Flavonifractor plautii	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	209	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:28117	Alistipes putredinis	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	210	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:1537	Clostridium lituseburense	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	211	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:166486	Roseburia intestinalis	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	212	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:333367	Clostridium asparagiform	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	213	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:84024	Clostridium disporicum	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	214	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:160404	Clostridium lactatifermentans	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	215	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:106588	Pseudoflavonifractor capillosus	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	216	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:39496	Eubacterium ventriosum	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	217	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:39484	Eubacterium desmolans	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	218	19	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:33038	Ruminococcus gnavus	Microbe	increased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	222	22	observational	0.8	Tissue biopsie		qPCR
NCBITaxon:33039	Ruminococcus torques	Microbe	increased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	223	22	observational	0.8	Tissue biopsie		qPCR
NCBITaxon:239935	Akkermansia muciniphila	Microbe	decreased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	224	22	observational	0.8	Tissue biopsie		qPCR
NCBITaxon:33038	Ruminococcus gnavus	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	225	22	observational	0.8	Tissue biopsie		qPCR
NCBITaxon:33039	Ruminococcus torques	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	226	22	observational	0.8	Tissue biopsie		qPCR
NCBITaxon:239935	Akkermansia muciniphila	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	227	22	observational	0.8	Tissue biopsie		qPCR
NCBITaxon:818	Bacteroides thetaiotaomicron	Microbe	decreased_in	DOID:0050589	inflammatory bowel disease	IBD_Outcome	Disbiome	228	23	observational	0.88	Tissue biopsie		16S rRNA sequencing
NCBITaxon:47882	Pseudomonas straminea	Microbe	increased_in	DOID:0050589	inflammatory bowel disease	IBD_Outcome	Disbiome	229	23	observational	0.88	Tissue biopsie		16S rRNA sequencing
NCBITaxon:1402	Bacillus licheniformis	Microbe	increased_in	DOID:0050589	inflammatory bowel disease	IBD_Outcome	Disbiome	230	23	observational	0.88	Tissue biopsie		16S rRNA sequencing
NCBITaxon:442	Gluconobacter oxydans	Microbe	increased_in	DOID:0050589	inflammatory bowel disease	IBD_Outcome	Disbiome	231	23	observational	0.88	Tissue biopsie		16S rRNA sequencing
NCBITaxon:1535	Clostridium leptum	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	427	52	observational	0.85	Faeces		FISH
NCBITaxon:1532	Blautia coccoides	Microbe	decreased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	428	52	observational	0.85	Faeces		FISH
NCBITaxon:41200	Bifidobacterium	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	430	53	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:102106	Collinsella	Microbe	increased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	431	53	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:52228	Hallella	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	432	53	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:59823	Prevotella	Microbe	decreased_in	DOID:8577	ulcerative colitis	IBD_Outcome	Disbiome	433	53	observational	0.85	Faeces		16S rRNA sequencing
NCBITaxon:841	Roseburia	Microbe	decreased_in	DOID:8778	Crohn's disease	IBD_Outcome	Disbiome	434	53	observational	0.85	Faeces		16S rRNA sequencing
