subject_id	subject_label	subject_type	predicate	object_id	object_label	object_type	source	source_id	publication_id	evidence_type	confidence	sample_type	notes	method
FOODON:00002473	apple	Food	has_high_FODMAP_content_of	CHEBI:28645	D-fructose	Bioactive	FODMAP_consensus	apple|fructose		review	0.9		Excess fructose; consensus across Monash, Healthline, UVA	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00002473	apple	Food	has_high_FODMAP_content_of	CHEBI:30911	sorbitol	Bioactive	FODMAP_consensus	apple|sorbitol		review	0.9		Stone-fruit-class polyol; consensus	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00003041	pear	Food	has_high_FODMAP_content_of	CHEBI:28645	D-fructose	Bioactive	FODMAP_consensus	pear|fructose		review	0.9		Excess fructose; consensus	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00003041	pear	Food	has_high_FODMAP_content_of	CHEBI:30911	sorbitol	Bioactive	FODMAP_consensus	pear|sorbitol		review	0.9		Polyol; consensus	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00003538	mango	Food	has_high_FODMAP_content_of	CHEBI:28645	D-fructose	Bioactive	FODMAP_consensus	mango|fructose		review	0.9		Excess fructose; consensus	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00003673	watermelon	Food	has_high_FODMAP_content_of	CHEBI:28645	D-fructose	Bioactive	FODMAP_consensus	watermelon|fructose		review	0.9		Excess fructose; consensus	Multi-source consensus from 5+ published FODMAP food lists
UBERON:0036016	honey	Food	has_high_FODMAP_content_of	CHEBI:28645	D-fructose	Bioactive	FODMAP_consensus	honey|fructose		review	0.9		Excess fructose; consensus	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00003478	cherry	Food	has_high_FODMAP_content_of	CHEBI:28645	D-fructose	Bioactive	FODMAP_consensus	cherry|fructose		review	0.9		Excess fructose	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00003478	cherry	Food	has_high_FODMAP_content_of	CHEBI:30911	sorbitol	Bioactive	FODMAP_consensus	cherry|sorbitol		review	0.9		Polyol	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00003266	fig	Food	has_high_FODMAP_content_of	CHEBI:28645	D-fructose	Bioactive	FODMAP_consensus	fig|fructose		review	0.9		Excess fructose	Multi-source consensus from 5+ published FODMAP food lists
NCBITaxon:4685	Asparagus	Food	has_high_FODMAP_content_of	CHEBI:28645	D-fructose	Bioactive	FODMAP_consensus	asparagus|fructose		review	0.9		Excess fructose	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00003483	plum	Food	has_high_FODMAP_content_of	CHEBI:30911	sorbitol	Bioactive	FODMAP_consensus	plum|sorbitol		review	0.9		Polyol	Multi-source consensus from 5+ published FODMAP food lists
FOODON:00003537	prune	Food	has_high_FODMAP_content_of	CHEBI:30911	sorbitol	Bioactive	FODMAP_consensus	prune|sorbitol		review	0.9		Polyol	Multi-source consensus from 5+ published FODMAP food lists
FOODON:03315502	peach	Food	has_high_FODMAP_content_of	CHEBI:30911	sorbitol	Bioactive	FODMAP_consensus	peach|sorbitol		review	0.9		Polyol	Multi-source consensus from 5+ published FODMAP food lists
