entity_type,recommendation,id_a,label_a,id_b,label_b,similarity,reason
IBD_Outcome,likely-same,LLM:recurrent_clostridiodes_difficile_infection,recurrent Clostridiodes difficile infection,LLM:recurrent_clostridioides_difficile_infection,recurrent Clostridioides difficile infection,98.9,spelling variant: clostridiode/clostridioide
Bioactive,likely-same,LLM:flammuliana_velutipes_polysaccharide,Flammuliana velutipes polysaccharide,LLM:flammulina_velutipes_polysaccharide,Flammulina velutipes polysaccharide,98.6,spelling variant: flammuliana/flammulina
Bioactive,likely-same,LLM:atractylodes_macrocephala_polysaccharide,Atractylodes macrocephala polysaccharide,LLM:atractylodis_macrocephala_polysaccharide,Atractylodis Macrocephala polysaccharide,97.5,spelling variant: atractylode/atractylodi
Food,likely-same,LLM:partially_hydrolysed_guar_gum,partially hydrolysed guar gum,LLM:partially_hydrolyzed_guar_gum,partially hydrolyzed guar gum,96.6,spelling variant: hydrolysed/hydrolyzed
IBD_Outcome,likely-same,LLM:necrotising_enterocolitis,necrotising enterocolitis,LLM:necrotizing_enterocolitis,necrotizing enterocolitis,96.0,spelling variant: necrotising/necrotizing
Food,likely-same,LLM:pectic_oligosaccharides,pectic oligosaccharides,LLM:pectin_oligosaccharides,pectin oligosaccharides,95.7,spelling variant: pectic/pectin
Bioactive,likely-same,LLM:indole_propionic_acid,indole propionic acid,LLM:indole-3-propionic_acid,indole-3-propionic acid,95.5,one name omits locant ['3']
Bioactive,likely-same,LLM:3-indoleacrylic_acid,3-indoleacrylic acid,LLM:indoleacrylic_acid,indoleacrylic acid,94.7,one name omits locant ['3']
Bioactive,likely-same,LLM:indole_acetic_acid,indole acetic acid,LLM:indole-3-acetic_acid,indole-3-acetic acid,94.7,one name omits locant ['3']
Bioactive,likely-same,LLM:indole_lactic_acid,indole lactic acid,LLM:indole-3-lactic_acid,indole-3-lactic acid,94.7,one name omits locant ['3']
Bioactive,likely-same,LLM:indole_acetamide,indole acetamide,LLM:indole-3-acetamide,indole-3-acetamide,94.1,one name omits locant ['3']
Bioactive,likely-same,LLM:luteolin,luteolin,LLM:luterolin,luterolin,94.1,spelling variant: luteolin/luterolin
Bioactive,likely-same,CHEBI:28189,Isomaltose,LLM:isomaltulose,isomaltulose,90.9,spelling variant: isomaltose/isomaltulose
Bioactive,likely-same,LLM:docosapentaenoic_acid,docosapentaenoic acid,LLM:eicosapentaenoic_acid,eicosapentaenoic acid,90.5,spelling variant: docosapentaenoic/eicosapentaenoic
Food,likely-distinct,LLM:resistant_starch_type_2,Resistant starch type 2,LLM:resistant_starch_type_5,Resistant starch type 5,95.7,different locant/isomer: 2/5
Bioactive,likely-distinct,LLM:caffeoylquinic_acid,caffeoylquinic acid,LLM:dicaffeoylquinic_acid,dicaffeoylquinic acid,95.0,multiplier prefix: caffeoylquinic/dicaffeoylquinic
Food,likely-distinct,LLM:qingzhuan_tea_aged_10_years,Qingzhuan tea aged 10 years,LLM:qingzhuan_tea_aged_5_years,Qingzhuan tea aged 5 years,94.3,different locant/isomer: 10/5
Bioactive,likely-distinct,LLM:1h-indole-3-carboxaldehyde,1H-Indole-3-carboxaldehyde,LLM:indole-3-carboxaldehyde,indole-3-carboxaldehyde,93.9,strain/code token ['1h']
Bioactive,likely-distinct,LLM:bisdemethoxycurcumin,bisdemethoxycurcumin,LLM:demethoxycurcumin,demethoxycurcumin,91.9,multiplier prefix: bisdemethoxycurcumin/demethoxycurcumin
Food,likely-distinct,LLM:lacticaseibacillus_paracasei_18,Lacticaseibacillus paracasei 18,LLM:lacticaseibacillus_paracasei_6235,Lacticaseibacillus paracasei 6235,90.6,different locant/isomer: 18/6235
Microbe,verify-taxonomy,LLM:clostridium_xiv,Clostridium XIV,LLM:clostridium_xivalpha,Clostridium XIVα,100.0,[] vs ['alpha'] (resolve against NCBI Taxonomy)
